Objet						Début	Journéeentière	Afficherladisponibilité	Catégories	Priorité	Privé
St Sylvestre						31/12/2013	VRAI	3	Ephemeride	Normale	FAUX
St Roger						30/12/2013	VRAI	3	Ephemeride	Normale	FAUX
St David						29/12/2013	VRAI	3	Ephemeride	Normale	FAUX
St Gaspard Innocents						28/12/2013	VRAI	3	Ephemeride	Normale	FAUX
St Jean Apôtre						27/12/2013	VRAI	3	Ephemeride	Normale	FAUX
St Etienne Stéphane						26/12/2013	VRAI	3	Ephemeride	Normale	FAUX
St Emmanuel - Noël						25/12/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Adèle						24/12/2013	VRAI	3	Ephemeride	Normale	FAUX
St Armand						23/12/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Françoise-Xavière						22/12/2013	VRAI	3	Ephemeride	Normale	FAUX
St Pierre Canisius - Hiver						21/12/2013	VRAI	3	Ephemeride	Normale	FAUX
St Théophile Abraham						20/12/2013	VRAI	3	Ephemeride	Normale	FAUX
St Urbain						19/12/2013	VRAI	3	Ephemeride	Normale	FAUX
St Gatien						18/12/2013	VRAI	3	Ephemeride	Normale	FAUX
St Judicaël Gaël						17/12/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Alice						16/12/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Ninon						15/12/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Odile						14/12/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Lucie						13/12/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Chantal Jeanne-Fr.						12/12/2013	VRAI	3	Ephemeride	Normale	FAUX
St Daniel						11/12/2013	VRAI	3	Ephemeride	Normale	FAUX
St Romaric						10/12/2013	VRAI	3	Ephemeride	Normale	FAUX
St Pierre Fourier						09/12/2013	VRAI	3	Ephemeride	Normale	FAUX
Immaculée Conception						08/12/2013	VRAI	3	Ephemeride	Normale	FAUX
St Ambroise						07/12/2013	VRAI	3	Ephemeride	Normale	FAUX
St Nicolas						06/12/2013	VRAI	3	Ephemeride	Normale	FAUX
St Gérald						05/12/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Barbara						04/12/2013	VRAI	3	Ephemeride	Normale	FAUX
St François-Xavier						03/12/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Viviane						02/12/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Florence Eloi - Avent						01/12/2013	VRAI	3	Ephemeride	Normale	FAUX
St André						30/11/2013	VRAI	3	Ephemeride	Normale	FAUX
St Saturnin						29/11/2013	VRAI	3	Ephemeride	Normale	FAUX
St Jacques de la Marche						28/11/2013	VRAI	3	Ephemeride	Normale	FAUX
St Séverin						27/11/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Delphine						26/11/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Catherine						25/11/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Flora - Christ-Roi						24/11/2013	VRAI	3	Ephemeride	Normale	FAUX
St Clément						23/11/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Cécile						22/11/2013	VRAI	3	Ephemeride	Normale	FAUX
St Gélase - Présentation de Marie						21/11/2013	VRAI	3	Ephemeride	Normale	FAUX
St Edmond						20/11/2013	VRAI	3	Ephemeride	Normale	FAUX
St Tanguy						19/11/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Aude						18/11/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Elisabeth						17/11/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Marguerite						16/11/2013	VRAI	3	Ephemeride	Normale	FAUX
St Albert Arthur Léopold						15/11/2013	VRAI	3	Ephemeride	Normale	FAUX
St Sidoine						14/11/2013	VRAI	3	Ephemeride	Normale	FAUX
St Brice						13/11/2013	VRAI	3	Ephemeride	Normale	FAUX
St Christian						12/11/2013	VRAI	3	Ephemeride	Normale	FAUX
Armistice 1918						11/11/2013	VRAI	3	Ephemeride	Normale	FAUX
St Léon						10/11/2013	VRAI	3	Ephemeride	Normale	FAUX
St Théodore						09/11/2013	VRAI	3	Ephemeride	Normale	FAUX
St Geoffroy						08/11/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Carine Ernest Ernestine						07/11/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Bertille						06/11/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Sylvie Sylviane						05/11/2013	VRAI	3	Ephemeride	Normale	FAUX
St Charles						04/11/2013	VRAI	3	Ephemeride	Normale	FAUX
St Hubert						03/11/2013	VRAI	3	Ephemeride	Normale	FAUX
Défunts						02/11/2013	VRAI	3	Ephemeride	Normale	FAUX
Toussaint						01/11/2013	VRAI	3	Ephemeride	Normale	FAUX
St Wolfgang Quentin						31/10/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Bienvenue						30/10/2013	VRAI	3	Ephemeride	Normale	FAUX
St Narcisse						29/10/2013	VRAI	3	Ephemeride	Normale	FAUX
St Simon Jude						28/10/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Emeline						27/10/2013	VRAI	3	Ephemeride	Normale	FAUX
St Dimitri						26/10/2013	VRAI	3	Ephemeride	Normale	FAUX
St Doria Crépin						25/10/2013	VRAI	3	Ephemeride	Normale	FAUX
St Florentin						24/10/2013	VRAI	3	Ephemeride	Normale	FAUX
St Jean de Capistran						23/10/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Elodie Salomé						22/10/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Céline						21/10/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Adeline Aline						20/10/2013	VRAI	3	Ephemeride	Normale	FAUX
St René						19/10/2013	VRAI	3	Ephemeride	Normale	FAUX
St Luc						18/10/2013	VRAI	3	Ephemeride	Normale	FAUX
St Baudouin						17/10/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Edwige						16/10/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Thérèse d'Avila Aurélie						15/10/2013	VRAI	3	Ephemeride	Normale	FAUX
St Juste						14/10/2013	VRAI	3	Ephemeride	Normale	FAUX
St Géraud						13/10/2013	VRAI	3	Ephemeride	Normale	FAUX
St Wilfried Alfred						12/10/2013	VRAI	3	Ephemeride	Normale	FAUX
St Firmin						11/10/2013	VRAI	3	Ephemeride	Normale	FAUX
St Ghislain						10/10/2013	VRAI	3	Ephemeride	Normale	FAUX
St Denis						09/10/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Pélagie						08/10/2013	VRAI	3	Ephemeride	Normale	FAUX
St Serge Gustave						07/10/2013	VRAI	3	Ephemeride	Normale	FAUX
St Bruno						06/10/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Fleur						05/10/2013	VRAI	3	Ephemeride	Normale	FAUX
St François d'Assise						04/10/2013	VRAI	3	Ephemeride	Normale	FAUX
St Gérard						03/10/2013	VRAI	3	Ephemeride	Normale	FAUX
St Léger						02/10/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Thérèse de l'Enfant Jésus						01/10/2013	VRAI	3	Ephemeride	Normale	FAUX
